FIR_ID,Victim_ID
FIR008563,V01906
FIR007003,V00610
FIR006309,V02269
FIR002981,V02825
FIR000109,V01645
FIR006036,V00486
FIR008813,V00388
FIR003224,V00764
FIR002495,V02948
FIR001171,V02813
FIR008668,V01459
FIR001711,V00986
FIR006851,V02369
FIR008233,V02115
FIR007011,V01653
FIR001312,V02152
FIR009427,V00932
FIR007500,V01672
FIR003293,V01111
FIR000494,V01809
FIR009375,V00235
FIR000694,V00166
FIR004763,V01001
FIR004105,V02047
FIR001810,V00347
FIR003939,V01258
FIR001576,V02714
FIR002560,V02251
FIR001193,V01438
FIR001742,V02098
FIR005936,V01159
FIR008986,V02895
FIR009823,V02457
FIR002043,V00979
FIR002842,V01709
FIR001592,V01598
FIR003732,V00805
FIR001992,V00465
FIR004471,V01062
FIR007811,V00723
FIR009297,V01966
FIR009007,V01620
FIR004135,V02382
FIR004510,V00509
FIR008120,V02705
FIR007410,V01901
FIR007931,V00983
FIR004683,V00430
FIR009933,V00657
FIR008405,V00586
FIR006069,V01450
FIR004415,V01714
FIR001079,V00684
FIR008923,V00893
FIR000325,V01612
FIR003149,V00938
FIR007000,V02288
FIR007479,V01255
FIR002880,V01853
FIR000359,V02273
FIR006999,V00983
FIR009054,V01416
FIR001811,V01666
FIR003390,V01629
FIR000646,V02346
FIR004708,V02127
FIR008901,V00570
FIR009990,V02345
FIR003726,V01708
FIR002559,V00231
FIR007230,V01056
FIR005010,V02209
FIR003185,V00618
FIR008456,V02788
FIR003389,V01698
FIR006659,V01743
FIR004370,V00834
FIR007175,V00277
FIR007122,V01627
FIR009635,V01343
FIR006384,V01971
FIR006417,V00678
FIR003345,V02265
FIR004607,V01811
FIR001098,V02153
FIR005511,V00310
FIR000981,V00157
FIR003187,V02907
FIR008224,V02064
FIR007885,V02055
FIR001745,V02353
FIR008471,V00198
FIR007306,V00572
FIR006143,V01750
FIR003725,V02943
FIR004284,V02187
FIR007963,V00318
FIR001509,V01245
FIR009122,V02916
FIR005702,V00941
FIR004344,V00508
FIR007656,V00431
FIR006705,V02290
FIR006379,V00043
FIR005962,V02842
FIR007513,V02351
FIR005769,V01195
FIR000626,V02109
FIR001435,V01178
FIR007581,V01100
FIR009323,V00402
FIR004051,V02357
FIR007903,V01892
FIR009927,V02321
FIR009725,V01084
FIR005661,V02644
FIR005345,V00406
FIR004171,V00340
FIR006412,V00299
FIR009095,V01374
FIR003599,V00372
FIR001393,V00518
FIR000825,V00602
FIR002221,V01539
FIR005580,V02890
FIR008076,V00125
FIR006484,V01971
FIR005563,V02170
FIR009704,V02675
FIR003211,V01858
FIR008295,V00760
FIR004092,V01020
FIR005204,V01298
FIR007980,V01272
FIR004457,V02971
FIR000699,V01288
FIR007370,V01310
FIR009886,V01248
FIR001866,V00733
FIR007363,V00753
FIR005655,V00074
FIR005158,V00608
FIR005660,V00037
FIR006119,V00712
FIR003071,V02168
FIR009528,V02895
FIR003186,V01779
FIR002513,V02038
FIR002384,V02637
FIR005809,V00024
FIR005298,V00396
FIR000689,V02399
FIR006566,V00370
FIR000033,V02247
FIR000323,V00207
FIR007091,V00812
FIR009181,V01969
FIR004952,V01524
FIR008097,V00182
FIR004059,V00557
FIR003429,V01803
FIR008924,V00667
FIR000910,V02589
FIR008300,V02770
FIR002717,V00240
FIR009079,V01631
FIR008964,V02462
FIR008107,V00826
FIR007471,V00183
FIR003272,V01232
FIR008964,V00271
FIR000393,V00258
FIR008444,V00397
FIR004614,V01147
FIR003256,V02120
FIR008982,V01603
FIR009690,V00728
FIR003554,V01837
FIR007948,V01197
FIR005728,V02494
FIR001973,V01230
FIR006411,V02706
FIR004934,V02596
FIR000338,V02846
FIR007069,V01018
FIR008606,V01548
FIR000165,V00903
FIR005720,V02715
FIR000966,V00915
FIR009305,V00913
FIR002515,V01882
FIR002934,V01093
FIR005447,V00860
FIR005543,V02353
FIR004667,V00900
FIR002378,V00300
FIR004150,V02691
FIR002409,V02983
FIR003316,V01170
FIR009505,V01914
FIR008603,V01060
FIR008150,V02246
FIR000295,V00484
FIR003086,V00096
FIR009155,V01676
FIR007316,V02391
FIR008975,V00007
FIR006106,V01671
FIR001401,V02290
FIR002105,V00828
FIR003785,V02902
FIR009942,V01457
FIR005843,V01664
FIR005423,V02586
FIR009016,V02375
FIR009085,V02462
FIR006089,V01046
FIR009823,V00856
FIR000654,V00588
FIR000470,V00693
FIR006993,V00483
FIR006740,V00636
FIR000685,V02049
FIR000843,V00823
FIR009046,V02334
FIR001781,V02696
FIR004374,V00905
FIR004965,V01750
FIR003625,V00350
FIR005673,V01645
FIR006307,V01692
FIR005426,V02430
FIR005588,V01845
FIR006399,V02746
FIR009084,V02334
FIR008648,V01677
FIR008375,V01363
FIR001197,V00158
FIR004848,V00285
FIR007497,V00434
FIR001489,V00268
FIR007948,V02000
FIR000226,V02667
FIR000392,V00194
FIR005964,V01881
FIR009152,V01438
FIR009930,V01516
FIR004287,V01798
FIR000782,V02130
FIR005299,V00423
FIR006602,V02817
FIR008842,V01230
FIR001438,V00910
FIR002373,V00994
FIR006187,V01691
FIR001472,V01900
FIR008898,V00026
FIR000627,V01048
FIR000759,V00369
FIR004174,V00754
FIR002822,V01612
FIR003903,V00026
FIR009630,V00240
FIR006888,V02840
FIR000060,V01743
FIR001056,V00235
FIR007020,V01391
FIR002340,V00006
FIR008575,V01664
FIR005924,V00822
FIR006525,V00685
FIR007977,V01342
FIR005330,V01531
FIR005868,V00700
FIR009763,V02058
FIR001094,V00619
FIR005955,V00057
FIR007294,V00510
FIR005417,V02460
FIR008752,V01779
FIR004988,V01378
FIR007209,V00637
FIR001204,V02333
FIR007859,V02834
FIR008679,V00322
FIR004958,V01718
FIR007011,V01254
FIR007765,V01423
FIR009397,V00578
FIR000994,V00704
FIR005389,V02545
FIR007960,V02285
FIR008321,V01463
FIR002818,V02821
FIR009767,V00626
FIR002044,V02321
FIR003635,V00674
FIR004257,V02806
FIR004085,V01074
FIR000346,V01693
FIR007799,V02868
FIR002700,V02564
FIR001052,V02211
FIR008656,V01429
FIR000096,V00061
FIR004212,V01324
FIR004682,V01322
FIR009380,V00880
FIR009644,V02767
FIR004185,V01432
FIR000524,V02986
FIR009616,V02181
FIR006040,V00941
FIR002087,V02493
FIR004177,V00933
FIR004080,V01425
FIR005005,V02252
FIR002444,V01293
FIR007515,V02268
FIR006574,V00557
FIR000768,V01285
FIR001072,V02732
FIR007923,V00498
FIR002411,V01945
FIR006015,V01651
FIR000158,V02055
FIR002933,V00295
FIR002643,V02488
FIR006424,V02702
FIR008621,V02951
FIR004897,V00094
FIR005159,V01958
FIR005623,V00867
FIR005404,V01046
FIR004987,V00246
FIR001624,V01789
FIR008440,V01388
FIR000420,V01336
FIR003502,V00877
FIR003702,V02351
FIR009093,V02679
FIR000519,V01066
FIR004774,V01501
FIR001301,V00607
FIR000650,V00826
FIR003156,V01211
FIR007496,V01447
FIR005684,V02773
FIR001684,V00599
FIR007040,V00605
FIR000831,V00589
FIR007869,V02548
FIR006763,V00073
FIR006926,V00608
FIR009715,V02024
FIR002960,V01930
FIR006067,V01811
FIR000037,V00809
FIR000363,V00166
FIR008738,V01629
FIR009032,V01314
FIR001441,V00551
FIR003930,V01017
FIR005588,V02084
FIR002649,V00251
FIR000023,V02503
FIR001057,V00792
FIR008270,V00215
FIR008808,V01406
FIR007215,V02844
FIR007901,V01324
FIR003861,V01051
FIR002492,V01717
FIR002360,V02928
FIR006311,V01545
FIR001836,V00110
FIR009009,V02739
FIR001229,V00526
FIR005316,V01657
FIR005952,V01584
FIR001532,V00129
FIR000913,V02209
FIR006772,V01237
FIR003112,V02013
FIR008423,V01890
FIR008204,V02711
FIR005836,V00292
FIR007717,V00372
FIR001017,V01871
FIR008555,V02626
FIR007927,V01289
FIR003787,V00156
FIR005660,V00070
FIR002553,V01185
FIR007500,V02745
FIR002167,V00040
FIR006166,V00576
FIR002399,V02628
FIR006807,V02523
FIR007938,V02800
FIR008287,V02661
FIR006054,V01769
FIR006875,V01797
FIR007629,V03000
FIR006323,V00171
FIR001037,V00323
FIR006003,V02711
FIR000279,V02101
FIR006413,V02943
FIR006321,V01149
FIR007748,V00490
FIR001545,V02782
FIR006287,V01259
FIR002375,V01530
FIR002953,V00355
FIR004002,V00641
FIR009539,V00718
FIR005345,V00845
FIR007585,V00784
FIR000174,V01056
FIR008912,V01804
FIR003837,V02021
FIR005305,V01588
FIR001464,V00313
FIR006066,V01527
FIR005566,V01735
FIR008635,V02007
FIR001961,V02982
FIR007169,V02486
FIR007206,V01538
FIR004383,V01163
FIR000064,V00274
FIR009702,V02959
FIR003990,V02794
FIR005671,V01563
FIR005651,V02105
FIR008959,V01196
FIR003033,V00252
FIR009886,V02761
FIR000697,V01399
FIR003902,V02190
FIR003210,V02509
FIR004278,V02507
FIR002655,V01636
FIR000834,V02331
FIR004523,V00846
FIR002328,V01287
FIR007659,V00550
FIR003835,V01827
FIR004507,V00469
FIR000988,V01730
FIR000221,V00237
FIR000735,V01397
FIR001767,V01696
FIR008906,V01620
FIR003699,V02811
FIR006622,V00471
FIR003203,V01680
FIR003935,V00649
FIR007637,V01350
FIR004089,V00683
FIR002306,V02217
FIR002358,V00649
FIR000869,V02021
FIR009450,V02156
FIR002492,V02631
FIR009079,V00292
FIR000838,V00979
FIR007222,V01953
FIR004035,V01417
FIR003079,V02759
FIR000217,V00493
FIR000768,V00230
FIR002412,V02768
FIR004047,V01837
FIR002456,V02523
FIR003130,V00173
FIR000500,V00510
FIR001064,V00907
FIR001900,V00605
FIR003188,V01337
FIR000603,V00313
FIR007299,V01256
FIR000163,V01653
FIR002366,V02518
FIR007481,V00101
FIR009991,V00597
FIR007603,V02047
FIR009585,V02746
FIR006135,V01948
FIR009565,V01683
FIR006583,V00096
FIR002607,V00606
FIR000296,V02502
FIR009754,V00123
FIR004532,V00289
FIR006044,V02005
FIR006488,V00124
FIR003274,V01897
FIR003632,V01547
FIR008792,V01664
FIR008052,V01527
FIR008499,V01465
FIR006847,V01597
FIR005510,V00169
FIR000039,V01618
FIR004747,V01482
FIR003537,V02259
FIR007654,V02283
FIR005719,V00717
FIR009754,V02310
FIR005909,V01458
FIR002006,V01112
FIR002024,V00747
FIR003226,V00823
FIR005441,V02580
FIR007392,V01285
FIR003646,V00724
FIR005573,V01829
FIR005204,V00815
FIR007535,V01441
FIR001605,V02850
FIR006167,V02051
FIR003636,V02728
FIR005376,V02110
FIR004557,V00068
FIR003581,V00405
FIR003446,V00365
FIR005617,V02332
FIR003858,V00324
FIR001502,V02477
FIR001396,V01469
FIR007110,V00424
FIR005677,V00263
FIR009269,V02447
FIR000806,V00237
FIR003183,V02086
FIR006355,V02362
FIR000725,V02458
FIR007327,V01145
FIR003472,V02825
FIR001648,V01043
FIR008876,V00702
FIR005082,V00764
FIR006816,V00388
FIR006739,V00855
FIR002742,V00214
FIR000853,V01539
FIR000988,V00834
FIR009352,V02872
FIR002486,V02808
FIR009780,V00878
FIR002730,V00113
FIR001783,V02698
FIR003876,V00114
FIR001937,V01503
FIR009350,V02305
FIR009772,V01001
FIR004166,V00088
FIR006906,V02172
FIR009480,V00008
FIR007366,V02528
FIR008600,V00628
FIR001658,V00123
FIR007273,V01900
FIR000116,V02074
FIR002958,V02551
FIR007270,V01848
FIR003960,V02695
FIR004074,V02483
FIR008480,V02765
FIR001510,V02183
FIR001323,V00420
FIR003494,V01750
FIR001924,V01412
FIR003416,V00542
FIR003788,V02248
FIR002553,V02929
FIR006512,V02079
FIR005259,V00351
FIR001811,V02812
FIR005353,V02497
FIR006872,V01833
FIR001710,V00617
FIR008251,V02428
FIR001180,V00658
FIR009106,V02666
FIR007857,V02917
FIR003703,V02770
FIR005619,V02217
FIR000489,V02906
FIR005587,V01291
FIR007865,V00604
FIR007571,V01608
FIR001671,V00880
FIR001152,V02975
FIR008182,V01953
FIR009077,V01115
FIR004847,V02100
FIR005177,V02656
FIR001638,V01659
FIR001093,V01752
FIR001604,V02373
FIR009947,V02269
FIR003278,V01538
FIR009912,V01542
FIR004636,V02634
