FIR_ID,Accused_ID
FIR000357,A00378
FIR007683,A00381
FIR009471,A00486
FIR001799,A00527
FIR007307,A01804
FIR001244,A00760
FIR004873,A00998
FIR009803,A00423
FIR006748,A00061
FIR008991,A01713
FIR006008,A00099
FIR007526,A01868
FIR009574,A00376
FIR005203,A01937
FIR006286,A01901
FIR005426,A01900
FIR004948,A00792
FIR005309,A01552
FIR001951,A00640
FIR001868,A01346
FIR006907,A00808
FIR000001,A01842
FIR007666,A00457
FIR006030,A00588
FIR008312,A01370
FIR009585,A00766
FIR002171,A00368
FIR001254,A01431
FIR003463,A00600
FIR002279,A00446
FIR008489,A00318
FIR006614,A00804
FIR005672,A01615
FIR003336,A01554
FIR006727,A00819
FIR001279,A01239
FIR009067,A01212
FIR003140,A01274
FIR003800,A00777
FIR003752,A01511
FIR005114,A00388
FIR006695,A00483
FIR001126,A00547
FIR003440,A00190
FIR004169,A01480
FIR007122,A01934
FIR009001,A01035
FIR006406,A00682
FIR005978,A01450
FIR002766,A01413
FIR002967,A00201
FIR004467,A01056
FIR003868,A00859
FIR003534,A00168
FIR000623,A00309
FIR001401,A01193
FIR007673,A01662
FIR002066,A01045
FIR004252,A00369
FIR001394,A00889
FIR001507,A00119
FIR000405,A01061
FIR004841,A01981
FIR007951,A01117
FIR005789,A01272
FIR001900,A00754
FIR008732,A00173
FIR006550,A01193
FIR004467,A01418
FIR003746,A01760
FIR005447,A01064
FIR008716,A00216
FIR009275,A00214
FIR009040,A01855
FIR003464,A00358
FIR007816,A00494
FIR000255,A01634
FIR003552,A01244
FIR004793,A01354
FIR007372,A01751
FIR000452,A01415
FIR003516,A01932
FIR009310,A00235
FIR006324,A01643
FIR004951,A01067
FIR000572,A01702
FIR005773,A00204
FIR000913,A00605
FIR001635,A00068
FIR002756,A01575
FIR009038,A01686
FIR009482,A00671
FIR001088,A01360
FIR004663,A01410
FIR009777,A01515
FIR007468,A00967
FIR009766,A01890
FIR003700,A01403
FIR006962,A00299
FIR002417,A01079
FIR003907,A01475
FIR004264,A00934
FIR000026,A00338
FIR004908,A00281
FIR000422,A00012
FIR007635,A00441
FIR009866,A00897
FIR003040,A00789
FIR004994,A00002
FIR009652,A01792
FIR008345,A00297
FIR001466,A01619
FIR001154,A01221
FIR008483,A01110
FIR006437,A00171
FIR000447,A01120
FIR009168,A00822
FIR008882,A00466
FIR008672,A01613
FIR001528,A00663
FIR004332,A01976
FIR008453,A00951
FIR003218,A01513
FIR007715,A00141
FIR008760,A01770
FIR009866,A00634
FIR006546,A01626
FIR005658,A00207
FIR002669,A00428
FIR006975,A00717
FIR001264,A01774
FIR003362,A01028
FIR005554,A01612
FIR007987,A00298
FIR008004,A01628
FIR002391,A01961
FIR006549,A01218
FIR000894,A00237
FIR006214,A01322
FIR003569,A00635
FIR002240,A00537
FIR000243,A00668
FIR006144,A01327
FIR001008,A01818
FIR007259,A00470
FIR000414,A01503
FIR006084,A00705
FIR006777,A01187
FIR009661,A01890
FIR001767,A00008
FIR007569,A01666
FIR000859,A01133
FIR002471,A01994
FIR001019,A01459
FIR000706,A01301
FIR008262,A01991
FIR009338,A00883
FIR007294,A01416
FIR003012,A00629
FIR001523,A00806
FIR008415,A00310
FIR009719,A01078
FIR004821,A00749
FIR007745,A00002
FIR005367,A00993
FIR008393,A01859
FIR006201,A00832
FIR000010,A01637
FIR008906,A00746
FIR008925,A00732
FIR002867,A00946
FIR001356,A00629
FIR005874,A00716
FIR000108,A00684
FIR000134,A01194
FIR000134,A01655
FIR003566,A01822
FIR006460,A01649
FIR001362,A01112
FIR000886,A01612
FIR008668,A00255
FIR007401,A01270
FIR007711,A01335
FIR008601,A01311
FIR005916,A01175
FIR002961,A01934
FIR003765,A00445
FIR009404,A00922
FIR007266,A01186
FIR006115,A01469
FIR008235,A00993
FIR008733,A01703
FIR002802,A01456
FIR001867,A01026
FIR007957,A01357
FIR003935,A01443
FIR000119,A01514
FIR009403,A00893
FIR004570,A00396
FIR009324,A00060
FIR000961,A00197
FIR002842,A00173
FIR002159,A00792
FIR005682,A01491
FIR007192,A01921
FIR003932,A00389
FIR004407,A00331
FIR008443,A00163
FIR005168,A01124
FIR003210,A00636
FIR006045,A00931
FIR002091,A00415
FIR002928,A00037
FIR001662,A01012
FIR003060,A00538
FIR006311,A00893
FIR003833,A00378
FIR000290,A01957
FIR001248,A01369
FIR003499,A00828
FIR009955,A01451
FIR005424,A01018
FIR002967,A00425
FIR009581,A00210
FIR002782,A00919
FIR007173,A01189
FIR009262,A01091
FIR006461,A01540
FIR008305,A00532
FIR009682,A01979
FIR007391,A00882
FIR002873,A01727
FIR001209,A00471
FIR004831,A00620
FIR005580,A01916
FIR007313,A00234
FIR009479,A00658
FIR002771,A01305
FIR001288,A01399
FIR006951,A00323
FIR002004,A00169
FIR004620,A01011
FIR005446,A01726
FIR001107,A01393
FIR007208,A01944
FIR003758,A01794
FIR000768,A01953
FIR006467,A01506
FIR001347,A01164
FIR000648,A01836
FIR008875,A00023
FIR005458,A00308
FIR001533,A01116
FIR004406,A01907
FIR003250,A01306
FIR008541,A00129
FIR003953,A00653
FIR002580,A00625
FIR003043,A00359
FIR009526,A01811
FIR007788,A00071
FIR009196,A01515
FIR005437,A01607
FIR004583,A00105
FIR003352,A00107
FIR003241,A01649
FIR008781,A01037
FIR004259,A01094
FIR009756,A00709
FIR003974,A01369
FIR009228,A00798
FIR005280,A00204
FIR009039,A00210
FIR007791,A01467
FIR006181,A00051
FIR008283,A01908
FIR001805,A00248
FIR003824,A00369
FIR005174,A01927
FIR003135,A01124
FIR001162,A01423
FIR002466,A01964
FIR009537,A01772
FIR000020,A01956
FIR006868,A01575
FIR001618,A00214
FIR000234,A01527
FIR005506,A01431
FIR007134,A00497
FIR008222,A01177
FIR006126,A00227
FIR001670,A01528
FIR005195,A00804
FIR000778,A00698
FIR009685,A00876
FIR001679,A01633
FIR001363,A00816
FIR004554,A00090
FIR002374,A00680
FIR001727,A00621
FIR001013,A00665
FIR005279,A01530
FIR004450,A01405
FIR008268,A01095
FIR001154,A00375
FIR004732,A01332
FIR002764,A01206
FIR002091,A00448
FIR001281,A01392
FIR001180,A00204
FIR001055,A01380
FIR007758,A01545
FIR001581,A00276
FIR003365,A01576
FIR005855,A01215
FIR000776,A01147
FIR008670,A01247
FIR008429,A00961
FIR002141,A01156
FIR006409,A01277
FIR008300,A00034
FIR001530,A01196
FIR003132,A00577
FIR003394,A00981
FIR007166,A00626
FIR005163,A01616
FIR005737,A01820
FIR003320,A01054
FIR001254,A00590
FIR001635,A01685
FIR004957,A01882
FIR007640,A01620
FIR007134,A01747
FIR000541,A01793
FIR009447,A01098
FIR008751,A00806
FIR004511,A00929
FIR006975,A01308
FIR009874,A00220
FIR002788,A01096
FIR004207,A00393
FIR002153,A00880
FIR007948,A00181
FIR006315,A01022
FIR008054,A01290
FIR009773,A01127
FIR007280,A01398
FIR005144,A01276
FIR002360,A01596
FIR000907,A01614
FIR005485,A00154
FIR005338,A01689
FIR005267,A01637
FIR000074,A01851
FIR002501,A00167
FIR005923,A01783
FIR000374,A00664
FIR005312,A00754
FIR002793,A01797
FIR004915,A01045
FIR000190,A00965
FIR009156,A01309
FIR001296,A00365
FIR005324,A01621
FIR006171,A01055
FIR008431,A00296
FIR004910,A00014
FIR006429,A01110
FIR003967,A01395
FIR000285,A00801
FIR000739,A01188
FIR005693,A00812
FIR000222,A01759
FIR000626,A00773
FIR009302,A01899
FIR003050,A00685
FIR004053,A01878
FIR000035,A00699
FIR000049,A00737
FIR003126,A01996
FIR005041,A01859
FIR005733,A01629
FIR007523,A00099
FIR009788,A00005
FIR000354,A00598
FIR003725,A00143
FIR000124,A00136
FIR005669,A01250
FIR002417,A01034
FIR009192,A00196
FIR006700,A00935
FIR008762,A01720
FIR000951,A00974
FIR008142,A00347
FIR002112,A00471
FIR008153,A01474
FIR004261,A01993
FIR003105,A01787
FIR006345,A00019
FIR005304,A01092
FIR004749,A00266
FIR004758,A01475
FIR003438,A01149
FIR004535,A01810
FIR002567,A00736
FIR003373,A01673
FIR008572,A01581
FIR009406,A01272
FIR003848,A01026
FIR008054,A01087
FIR006871,A00141
FIR003678,A00659
FIR002001,A00939
FIR006370,A01984
FIR004471,A00093
FIR006251,A01816
FIR003216,A00187
FIR005140,A01685
FIR005858,A01850
FIR002516,A00226
FIR003697,A01785
FIR009198,A01706
FIR004038,A01446
FIR003068,A00186
FIR006068,A00946
FIR009436,A00047
FIR003931,A00980
FIR004925,A01263
FIR005015,A00888
FIR007794,A00258
FIR002561,A01731
FIR005965,A00886
FIR004155,A01342
FIR009308,A01674
FIR000935,A00801
FIR001811,A01400
FIR000925,A00116
FIR007095,A00609
FIR003702,A01471
FIR006517,A01711
FIR003909,A01303
FIR005909,A00014
FIR001524,A01325
FIR006728,A01290
FIR000395,A00303
FIR009165,A01716
FIR009146,A01710
FIR009109,A00449
FIR002668,A00070
FIR000149,A01988
FIR002701,A01220
FIR000300,A01665
FIR008717,A01691
FIR001782,A01238
FIR007172,A01919
FIR001233,A00937
FIR003086,A01476
FIR002471,A00825
FIR003530,A00362
FIR000204,A00247
FIR006217,A00336
FIR001938,A00327
FIR004211,A01225
FIR001542,A01808
FIR002782,A01685
FIR004915,A01078
FIR005608,A00547
FIR007574,A00953
FIR005745,A01404
FIR007200,A01928
FIR004122,A00200
FIR006894,A01605
FIR008001,A01700
FIR006490,A01950
FIR006385,A00033
FIR006590,A00865
FIR003756,A00541
FIR000200,A00570
FIR001045,A01080
FIR005082,A00099
FIR004903,A01375
FIR000785,A01315
FIR007933,A01700
FIR001949,A01884
FIR003380,A00463
FIR002070,A00828
FIR004652,A00838
FIR006170,A01660
FIR006091,A01277
FIR008161,A00636
FIR009032,A00473
FIR007194,A01595
FIR004903,A00741
FIR003860,A01713
FIR002748,A00656
FIR001943,A01328
FIR006137,A01416
FIR004255,A00358
FIR003604,A01064
FIR000100,A00486
FIR007298,A00321
FIR002887,A00401
FIR007836,A00457
FIR004530,A00196
FIR006729,A01774
FIR002340,A00872
FIR001247,A01030
FIR006431,A00163
FIR006251,A00963
FIR005172,A01399
FIR001268,A00852
FIR007098,A01397
FIR008085,A00256
FIR008072,A00980
FIR008197,A00560
FIR006689,A01305
FIR008386,A01656
FIR000150,A01000
FIR005176,A00573
FIR007360,A00788
FIR009111,A01889
FIR008168,A01731
FIR008423,A00792
FIR001631,A00201
FIR001869,A00511
FIR009211,A01722
FIR002987,A01626
FIR002876,A01268
FIR000940,A00800
FIR004066,A01865
FIR001503,A00306
FIR009607,A00725
FIR008849,A00517
FIR004481,A00110
FIR008598,A01097
FIR006054,A00642
FIR009227,A00828
FIR008953,A01405
FIR000374,A00502
FIR006908,A01127
FIR008868,A00479
FIR003253,A01691
FIR001511,A01501
FIR007671,A01241
FIR003887,A00682
FIR001540,A01957
FIR007057,A00295
FIR009036,A01999
FIR007860,A00747
FIR003598,A01689
FIR005730,A01381
FIR008868,A00641
FIR007668,A00947
FIR003915,A00058
FIR007269,A00731
FIR003072,A00793
FIR008513,A00394
FIR001704,A01210
FIR007940,A01559
FIR004857,A01195
FIR001982,A01188
FIR005662,A01803
FIR006063,A01279
FIR002415,A00070
FIR006371,A01234
FIR005277,A01148
FIR001852,A00846
FIR005273,A01169
FIR004744,A00308
FIR006147,A01456
FIR002953,A00387
FIR007860,A01983
FIR008273,A00650
FIR002477,A00264
FIR004412,A01689
FIR005631,A01494
FIR006107,A01562
FIR005823,A00614
FIR003537,A00921
FIR003187,A00401
FIR008216,A00292
FIR002306,A00407
FIR005033,A00558
FIR009913,A01405
FIR000919,A01478
FIR009389,A00083
FIR007402,A01683
FIR004079,A00365
FIR006801,A00658
FIR009443,A00650
FIR000809,A00949
FIR007674,A00480
FIR001663,A00669
FIR001000,A00534
FIR007386,A00699
FIR004610,A01205
FIR008734,A00416
FIR000099,A00588
FIR001431,A00040
FIR002661,A00866
FIR004329,A00917
FIR005782,A00990
FIR007048,A01194
FIR006284,A00392
FIR005655,A00448
FIR006571,A00924
FIR001334,A01643
FIR004453,A00371
FIR000037,A00403
FIR002259,A00684
FIR001472,A00235
FIR004676,A01227
FIR009442,A01348
FIR007737,A01914
FIR004125,A01962
FIR002881,A01225
FIR004289,A01176
FIR004125,A00855
FIR000567,A00143
FIR007036,A00920
FIR002532,A00284
FIR005657,A01277
FIR002130,A00519
FIR002616,A01567
FIR009406,A01263
FIR003111,A00974
FIR001065,A00728
FIR007451,A01777
FIR000575,A01698
FIR006926,A01795
FIR005393,A00451
FIR000522,A01778
FIR005349,A00377
FIR002945,A01690
FIR008379,A01145
FIR000597,A00643
FIR006599,A01709
FIR003941,A00690
FIR003880,A00229
FIR005700,A00018
FIR003291,A00340
FIR009032,A01303
FIR008334,A00075
FIR007031,A01443
FIR004101,A01991
FIR004036,A01702
FIR001223,A01467
FIR000316,A01773
FIR000023,A01648
FIR009336,A01786
FIR000574,A01475
FIR003950,A00325
FIR002383,A01473
FIR003012,A00358
FIR006829,A01201
FIR003944,A01198
FIR000524,A01976
FIR005635,A01243
FIR004690,A01804
FIR000942,A01262
FIR008047,A01125
FIR006422,A00161
FIR005178,A01471
FIR003809,A01173
FIR009554,A00885
FIR000510,A00950
FIR003353,A01592
FIR003459,A00019
FIR009578,A01010
FIR001564,A01777
FIR001106,A01034
FIR002122,A01348
FIR004486,A00875
FIR006639,A01620
FIR005644,A01322
FIR008571,A00512
FIR000865,A01817
FIR003316,A00798
FIR004258,A00592
FIR005914,A00469
FIR009773,A01964
FIR002736,A01162
FIR001382,A00838
FIR001197,A01472
FIR002495,A01666
FIR004006,A01387
FIR004447,A01106
FIR008496,A01330
FIR004729,A01247
FIR001079,A00759
FIR000394,A01769
FIR001096,A01758
FIR007686,A01123
FIR004721,A00310
FIR002150,A00119
FIR001877,A01175
FIR008707,A00843
FIR008368,A00855
FIR003365,A00368
FIR005912,A01880
FIR002143,A00606
FIR008337,A01730
FIR007444,A00872
FIR005557,A01081
FIR005488,A01346
FIR009856,A00044
FIR003057,A01995
FIR007844,A01245
FIR004218,A01741
FIR007592,A00319
FIR007845,A01696
FIR001978,A01241
FIR004530,A00384
FIR004390,A00767
FIR005736,A00193
FIR006826,A00410
FIR003918,A00027
FIR008052,A01016
FIR007898,A01796
FIR003879,A01957
FIR005634,A00780
FIR006499,A01850
FIR005638,A01711
FIR005985,A01818
FIR002204,A01789
FIR005925,A00785
FIR002003,A00334
FIR002151,A00381
FIR004002,A01866
FIR001650,A01301
FIR006815,A01625
FIR006480,A01717
FIR001572,A00380
FIR004390,A00082
FIR006500,A00725
FIR009968,A01479
FIR003457,A00713
FIR002987,A00695
FIR001033,A00236
FIR005838,A00771
FIR002458,A01495
FIR009048,A01848
FIR007850,A00403
FIR002772,A00223
FIR004408,A01459
FIR002037,A02000
FIR008427,A01844
FIR001288,A01278
FIR007370,A01442
FIR009149,A00734
FIR007984,A00263
FIR008511,A00623
FIR009425,A01415
FIR006408,A01883
FIR009466,A00684
FIR005205,A00832
FIR005293,A01416
FIR008089,A01751
FIR009067,A00401
FIR009586,A01668
FIR009292,A00290
FIR008249,A00260
FIR001522,A00800
FIR002107,A00987
FIR005638,A00572
FIR004085,A01607
FIR001640,A01833
FIR005640,A00878
FIR000077,A01145
FIR003793,A01649
FIR003731,A00171
FIR009299,A00832
FIR003166,A01577
FIR001571,A00716
FIR008918,A01633
FIR003845,A00256
FIR005077,A00196
FIR004798,A00834
FIR005880,A01221
FIR008930,A01939
FIR008043,A01302
FIR003750,A00368
FIR008827,A01276
FIR003213,A01124
FIR007222,A01625
FIR008898,A01829
FIR001180,A01662
FIR006399,A00972
FIR003116,A01407
FIR003576,A00218
FIR004524,A01184
FIR001683,A00241
FIR003269,A00581
FIR001113,A01182
FIR006107,A01271
FIR002163,A01117
FIR000451,A01165
FIR002870,A00022
FIR000364,A00254
FIR007470,A01143
FIR005180,A01276
FIR002217,A01090
FIR000381,A00346
FIR005608,A01819
FIR006838,A00543
FIR003856,A01208
FIR005895,A01008
FIR008557,A00815
FIR008525,A00035
FIR000635,A01967
FIR006025,A01616
FIR005936,A00597
FIR008077,A00321
FIR009786,A00849
FIR007376,A00877
FIR009767,A01046
FIR005361,A01584
FIR004526,A01463
FIR000508,A00902
FIR006143,A01297
FIR006249,A00427
FIR003097,A00232
FIR009647,A00694
FIR003949,A00636
FIR005383,A01717
FIR006337,A01074
FIR001799,A01685
FIR002347,A01863
FIR007030,A00920
FIR007688,A00197
FIR008668,A01944
FIR004155,A00167
FIR003365,A01859
FIR001810,A00171
FIR006157,A00814
FIR008465,A01777
FIR000793,A00179
FIR000092,A00870
FIR002135,A01605
FIR009310,A00683
FIR008013,A00201
FIR004895,A00980
FIR003091,A00659
FIR007898,A01661
FIR004257,A00698
FIR002187,A01918
FIR002742,A01263
FIR009680,A00659
FIR006958,A01254
FIR004183,A01552
FIR004056,A01552
FIR008644,A01321
FIR007696,A01584
FIR008754,A01705
FIR002619,A01537
FIR007485,A01363
FIR000638,A01365
FIR008996,A00763
FIR008910,A01980
FIR005962,A00844
FIR002300,A00523
FIR008487,A01074
FIR000061,A01022
FIR005343,A00936
FIR005536,A00197
FIR006291,A01379
FIR003921,A00676
FIR000463,A00589
FIR003073,A00611
FIR001802,A01083
FIR007896,A00353
FIR007764,A00093
FIR002186,A01081
FIR002482,A00006
FIR007416,A01580
FIR006972,A00284
FIR007470,A01494
FIR005203,A00532
FIR007901,A00989
FIR009839,A00548
FIR005191,A00159
FIR001651,A00416
FIR002380,A00442
FIR000935,A01505
FIR008691,A00097
FIR002965,A01135
FIR006938,A01554
FIR004952,A00902
FIR003891,A01225
FIR002861,A01924
FIR004637,A01382
FIR007572,A01433
FIR001963,A00169
FIR004689,A01296
FIR005424,A00389
FIR001984,A01928
FIR005894,A01553
FIR000710,A00702
FIR009851,A01077
FIR004251,A01267
FIR003682,A01019
FIR003090,A00960
FIR008065,A01159
FIR001277,A01834
FIR002639,A01108
FIR006479,A00426
FIR000783,A00317
FIR002484,A00216
FIR002025,A01349
FIR009795,A00481
FIR001672,A00422
FIR005506,A00322
FIR006914,A01781
FIR005993,A01286
FIR001108,A00494
FIR002190,A01522
FIR004530,A01174
FIR002718,A01095
FIR005594,A00593
FIR004145,A01358
FIR004780,A01781
FIR008044,A00726
FIR003345,A01018
FIR008053,A01696
FIR007761,A01728
FIR008390,A00503
FIR002141,A00154
FIR005829,A00470
FIR000683,A01750
FIR005755,A01541
FIR003971,A00022
FIR005272,A01401
FIR008518,A00753
FIR009076,A00862
FIR001580,A00380
FIR002954,A00759
FIR004274,A01834
FIR000430,A01197
FIR000421,A01643
FIR007841,A00738
FIR009948,A00105
FIR004590,A01815
FIR006742,A00445
FIR000533,A01575
FIR004085,A01777
FIR005581,A00043
FIR006640,A01624
FIR000638,A00573
FIR009196,A00294
FIR003654,A01644
FIR003109,A00803
FIR004058,A01734
FIR005133,A01787
FIR004721,A00178
FIR007405,A01092
FIR006313,A01584
FIR007244,A01943
FIR005804,A01397
FIR008474,A00648
FIR009361,A00608
FIR007918,A00515
FIR005723,A01919
FIR000652,A00393
FIR000977,A00159
FIR001614,A01018
FIR006974,A00735
FIR008728,A00610
FIR003484,A01856
FIR005184,A00485
FIR007640,A00345
FIR001608,A01445
FIR005921,A00377
FIR002644,A01986
FIR005775,A00568
FIR005438,A01646
FIR004459,A01865
FIR006392,A00683
FIR006133,A01442
FIR001233,A01603
FIR008039,A00806
FIR005454,A00713
FIR004093,A01525
FIR009256,A01295
FIR001768,A00180
FIR002114,A01238
FIR002659,A00010
FIR004237,A00831
FIR000755,A01427
FIR009458,A01201
FIR009358,A00430
FIR000988,A01995
FIR004818,A01238
FIR004866,A01277
FIR006619,A00511
FIR005082,A01637
FIR000285,A00285
FIR006574,A01350
FIR000428,A00602
FIR003238,A01326
FIR009192,A01947
FIR007595,A01414
FIR009065,A00032
FIR003159,A01724
FIR001756,A00962
FIR009560,A01057
FIR001159,A00369
FIR005186,A00128
FIR000935,A01373
FIR002254,A00112
FIR001278,A01617
FIR003031,A01259
FIR002895,A00635
FIR005423,A01531
FIR005698,A01913
FIR009958,A01520
FIR009402,A00910
FIR000788,A01146
FIR007969,A00322
FIR007522,A01978
FIR003421,A00831
FIR005290,A00040
FIR007282,A01319
FIR008116,A00581
FIR002317,A00607
FIR001542,A00121
FIR005278,A01856
FIR005396,A01452
FIR004476,A00984
FIR003901,A00500
FIR003824,A01239
FIR006471,A00676
FIR004795,A00935
FIR007725,A01940
FIR008728,A00726
FIR005620,A01922
FIR008130,A01976
FIR001765,A00143
FIR009719,A01427
FIR003574,A01044
FIR007049,A00704
FIR008307,A00992
FIR003929,A00466
FIR009738,A01453
FIR003047,A01268
FIR004014,A00091
FIR005632,A00319
FIR008434,A01658
FIR008952,A00810
FIR008744,A01805
FIR000875,A01806
FIR006385,A00716
FIR003310,A01812
FIR001649,A01916
FIR004352,A01003
FIR003644,A01561
FIR001216,A01323
FIR003478,A01748
FIR004447,A01068
FIR000099,A01702
FIR002194,A01013
FIR007119,A01727
FIR009543,A00421
FIR002389,A00533
FIR004474,A01648
FIR008997,A00436
FIR001498,A01088
FIR006057,A00111
FIR004939,A01856
FIR008847,A00261
FIR002406,A00579
FIR004149,A01425
FIR002349,A01657
FIR003816,A00530
FIR007525,A01382
FIR003718,A01896
FIR002696,A01417
FIR004955,A01814
FIR008609,A00028
FIR007405,A00532
FIR003810,A00754
FIR006355,A00349
FIR001098,A01785
FIR004769,A00299
FIR005537,A00830
FIR004119,A00908
FIR002273,A00238
FIR008246,A00111
FIR002742,A00152
FIR003921,A00432
FIR002667,A01772
FIR008281,A01311
FIR002983,A01571
FIR007836,A00040
FIR007687,A01689
FIR003438,A01112
FIR009001,A01308
FIR000176,A00231
FIR009538,A00689
FIR000899,A00743
FIR008967,A00149
FIR003351,A01059
FIR001612,A01225
FIR005744,A00664
FIR000059,A01129
FIR006778,A01868
FIR002033,A01712
FIR002391,A01203
FIR000784,A00179
FIR000868,A00807
FIR003985,A01150
FIR009604,A00648
FIR006948,A00725
FIR001570,A01458
FIR002371,A01720
FIR001497,A00416
FIR003364,A01641
FIR004383,A00899
